original_url,domain,fake_reason,classification
https://www.medicinechestidiom.com,medicinechestidiom.com,Contains fake pattern: medicinechestidiom,FABRICATED
https://medicinechestidiom.com,medicinechestidiom.com,Contains fake pattern: medicinechestidiom,FABRICATED
https://www.medicinechestidiom.eu,medicinechestidiom.eu,Contains fake pattern: medicinechestidiom,FABRICATED
https://www.medicinechestidiom.de,medicinechestidiom.de,Contains fake pattern: medicinechestidiom,FABRICATED
https://medicinechestidiom.de,medicinechestidiom.de,Contains fake pattern: medicinechestidiom,FABRICATED
https://www.pharmaceuticalcompaniesbycountry.com,pharmaceuticalcompaniesbycountry.com,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://pharmaceuticalcompaniesbycountry.com,pharmaceuticalcompaniesbycountry.com,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://www.pharmaceuticalcompaniesbycountry.eu,pharmaceuticalcompaniesbycountry.eu,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://www.pharmaceuticalcompaniesbycountry.de,pharmaceuticalcompaniesbycountry.de,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://pharmaceuticalcompaniesbycountry.de,pharmaceuticalcompaniesbycountry.de,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://www.drugsingermany.com,drugsingermany.com,Contains fake pattern: drugsin,FABRICATED
https://drugsingermany.com,drugsingermany.com,Contains fake pattern: drugsin,FABRICATED
https://www.drugsingermany.eu,drugsingermany.eu,Contains fake pattern: drugsin,FABRICATED
https://www.drugsingermany.de,drugsingermany.de,Contains fake pattern: drugsin,FABRICATED
https://drugsingermany.de,drugsingermany.de,Contains fake pattern: drugsin,FABRICATED
https://www.healthcarecompaniesofgermany.com,healthcarecompaniesofgermany.com,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://healthcarecompaniesofgermany.com,healthcarecompaniesofgermany.com,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://www.healthcarecompaniesofgermany.eu,healthcarecompaniesofgermany.eu,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://www.healthcarecompaniesofgermany.de,healthcarecompaniesofgermany.de,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://healthcarecompaniesofgermany.de,healthcarecompaniesofgermany.de,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.com,listofpharmaceuticalmanufacturersintheunitedkingdom.com,Contains fake pattern: listofpharmaceuticalmanufacturers,FABRICATED
https://listofpharmaceuticalmanufacturersintheunitedkingdom.com,listofpharmaceuticalmanufacturersintheunitedkingdom.com,Contains fake pattern: listofpharmaceuticalmanufacturers,FABRICATED
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.eu,listofpharmaceuticalmanufacturersintheunitedkingdom.eu,Contains fake pattern: listofpharmaceuticalmanufacturers,FABRICATED
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.co.uk,listofpharmaceuticalmanufacturersintheunitedkingdom.co.uk,Contains fake pattern: listofpharmaceuticalmanufacturers,FABRICATED
https://listofpharmaceuticalmanufacturersintheunitedkingdom.co.uk,listofpharmaceuticalmanufacturersintheunitedkingdom.co.uk,Contains fake pattern: listofpharmaceuticalmanufacturers,FABRICATED
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.uk,listofpharmaceuticalmanufacturersintheunitedkingdom.uk,Contains fake pattern: listofpharmaceuticalmanufacturers,FABRICATED
https://listofpharmaceuticalmanufacturersintheunitedkingdom.uk,listofpharmaceuticalmanufacturersintheunitedkingdom.uk,Contains fake pattern: listofpharmaceuticalmanufacturers,FABRICATED
https://www.pharmaceuticalcompaniesbycountry.co.uk,pharmaceuticalcompaniesbycountry.co.uk,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://pharmaceuticalcompaniesbycountry.co.uk,pharmaceuticalcompaniesbycountry.co.uk,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://www.pharmaceuticalcompaniesbycountry.uk,pharmaceuticalcompaniesbycountry.uk,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://pharmaceuticalcompaniesbycountry.uk,pharmaceuticalcompaniesbycountry.uk,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
https://www.pharmaceuticalindustryintheunitedkingdom.com,pharmaceuticalindustryintheunitedkingdom.com,Contains fake pattern: pharmaceuticalindustryinthe,FABRICATED
https://pharmaceuticalindustryintheunitedkingdom.com,pharmaceuticalindustryintheunitedkingdom.com,Contains fake pattern: pharmaceuticalindustryinthe,FABRICATED
https://www.pharmaceuticalindustryintheunitedkingdom.eu,pharmaceuticalindustryintheunitedkingdom.eu,Contains fake pattern: pharmaceuticalindustryinthe,FABRICATED
https://www.pharmaceuticalindustryintheunitedkingdom.co.uk,pharmaceuticalindustryintheunitedkingdom.co.uk,Contains fake pattern: pharmaceuticalindustryinthe,FABRICATED
https://pharmaceuticalindustryintheunitedkingdom.co.uk,pharmaceuticalindustryintheunitedkingdom.co.uk,Contains fake pattern: pharmaceuticalindustryinthe,FABRICATED
https://www.pharmaceuticalindustryintheunitedkingdom.uk,pharmaceuticalindustryintheunitedkingdom.uk,Contains fake pattern: pharmaceuticalindustryinthe,FABRICATED
https://pharmaceuticalindustryintheunitedkingdom.uk,pharmaceuticalindustryintheunitedkingdom.uk,Contains fake pattern: pharmaceuticalindustryinthe,FABRICATED
https://www.healthcarecompaniesoftheunitedkingdom.com,healthcarecompaniesoftheunitedkingdom.com,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://healthcarecompaniesoftheunitedkingdom.com,healthcarecompaniesoftheunitedkingdom.com,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://www.healthcarecompaniesoftheunitedkingdom.eu,healthcarecompaniesoftheunitedkingdom.eu,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://www.healthcarecompaniesoftheunitedkingdom.co.uk,healthcarecompaniesoftheunitedkingdom.co.uk,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://healthcarecompaniesoftheunitedkingdom.co.uk,healthcarecompaniesoftheunitedkingdom.co.uk,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://www.healthcarecompaniesoftheunitedkingdom.uk,healthcarecompaniesoftheunitedkingdom.uk,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://healthcarecompaniesoftheunitedkingdom.uk,healthcarecompaniesoftheunitedkingdom.uk,Contains fake pattern: healthcarecompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofengland.com,pharmaceuticalcompaniesofengland.com,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://pharmaceuticalcompaniesofengland.com,pharmaceuticalcompaniesofengland.com,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofengland.eu,pharmaceuticalcompaniesofengland.eu,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofengland.co.uk,pharmaceuticalcompaniesofengland.co.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://pharmaceuticalcompaniesofengland.co.uk,pharmaceuticalcompaniesofengland.co.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofengland.uk,pharmaceuticalcompaniesofengland.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://pharmaceuticalcompaniesofengland.uk,pharmaceuticalcompaniesofengland.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofscotland.com,pharmaceuticalcompaniesofscotland.com,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://pharmaceuticalcompaniesofscotland.com,pharmaceuticalcompaniesofscotland.com,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofscotland.eu,pharmaceuticalcompaniesofscotland.eu,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofscotland.co.uk,pharmaceuticalcompaniesofscotland.co.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://pharmaceuticalcompaniesofscotland.co.uk,pharmaceuticalcompaniesofscotland.co.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesofscotland.uk,pharmaceuticalcompaniesofscotland.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://pharmaceuticalcompaniesofscotland.uk,pharmaceuticalcompaniesofscotland.uk,Contains fake pattern: pharmaceuticalcompaniesof,FABRICATED
https://www.pharmaceuticalcompaniesbycountry.fr,pharmaceuticalcompaniesbycountry.fr,Contains fake pattern: pharmaceuticalcompaniesbycountry,FABRICATED
