url,domain,company_name,country,sector,description,discovery_source,quality_score,discovered_at,last_validated
https://www.shire.com,shire.com,Takeda Pharmaceuticals: Global Homepage,Germany,Biotech,"Takeda is a patient-focused, R&D-driven global biopharmaceutical company committed to bringing Better Health and a Brighter Future.",Validated list,0,2025-07-09T18:00:10.797062,2025-07-09T18:00:10.797066
https://www.bvmed.de/themen/digital-health-diga,bvmed.de,Digital Health / DiGA - BVMed,Germany,General Healthcare,"Cookie-Einstellungen    





                    Zur fortlaufenden Verbesserung unserer Angebote nutzen wir den Webanalysedienst matomo.

Dazu werden Cookies auf Ihrem Endgerät gespeichert, was uns e",Validated list,0,2025-07-09T18:00:10.805172,2025-07-09T18:00:10.805174
https://www.b-braun.com,b-braun.com,B. Braun is a leading medical technology company.,France,General Healthcare,"With 64,000 employees, B. Braun is a true partner developing smart solutions and setting standards to drive advancements in health care. In 2024, the B. Braun Group recorded 9.1 billion euros in sales",Validated list,0,2025-07-09T18:00:10.810506,2025-07-09T18:00:10.810507
https://www.dacadoo.com,dacadoo.com,Digital Health Technology Platform - dacadoo,Germany,General Healthcare,Award-winning digital health technology that engages your customers to drive acquisition and loyalty. Based on 400 million person-years of scientific data.,Validated list,0,2025-07-09T18:00:10.816885,2025-07-09T18:00:10.816888
https://www.europabio.org/patient-bio-forum,europabio.org,Patient BioForum - Europabio,Sweden,Biotech,"About us

What we do
Who we are

Governance
Staff
Vacancies




Members

EuropaBio Members
About Membership


How we work

Healthcare Biotechnology Council

Patient BioForum
Study – Impact of the EU’s",Validated list,0,2025-07-09T18:00:10.822989,2025-07-09T18:00:10.822991
https://www.europabio.org/european-biotech-week,europabio.org,European Biotech Week - Europabio,Sweden,Biotech,"About us

What we do
Who we are

Governance
Staff
Vacancies




Members

EuropaBio Members
About Membership


How we work

Healthcare Biotechnology Council

Patient BioForum
Study – Impact of the EU’s",Validated list,0,2025-07-09T18:00:10.828155,2025-07-09T18:00:10.828156
https://www.sanofi.com,sanofi.com,R&D-Driven and AI-Powered Biopharma Company - Sanofi,Germany,General Healthcare,"Sanofi is a research & development-driven, AI-powered healthcare biopharma company committed to improving lives through innovative medicines & vaccines.",Validated list,0,2025-07-09T18:00:10.833336,2025-07-09T18:00:10.833337
https://www.europabio.org/biotechnology-in-our-lives,europabio.org,Biotechnology in our Lives - Europabio,Sweden,Biotech,"About us

What we do
Who we are

Governance
Staff
Vacancies




Members

EuropaBio Members
About Membership


How we work

Healthcare Biotechnology Council

Patient BioForum
Study – Impact of the EU’s",Validated list,0,2025-07-09T18:00:10.840012,2025-07-09T18:00:10.840013
https://www.medica-tradefair.com/pt/MEDICA_Home/International_Landingpages/MEDICA_Düsseldorf_(Alemanha)_-_Fórum_Mundial_de_la_Medicina,medica-tradefair.com,MEDICA Düsseldorf (Alemanha) - Fórum Mundial de la Medicina,Germany,General Healthcare,"World Forum for Medicine - International Trade Fair with Conferences and Forums for Medical Technology, Electromedicine, Laboratory Equipment, Diagnostics and Drugs. 13 to 16 November 2023, Düsseldorf",Validated list,0,2025-07-09T18:00:10.845580,2025-07-09T18:00:10.845582
https://www.ucb.com,ucb.com,Inspired by Patients. Driven by Science.,Sweden,Biotech,UCB a global biopharmaceutical leader focuses on creating valuable solutions that improve the lives of people living with neurological and autoimmune conditions,Validated list,0,2025-07-09T18:00:10.850839,2025-07-09T18:00:10.850843
https://medica.de/en/medtech-devices/home,medica.de,MEDICA - Sphere MED TECH & DEVICES - Magazine,Germany,Medical Devices,"You can find interviews, articles, videos and more about medical devices of the future in our Sphere MED TECH & DEVICES.",Validated list,0,2025-07-09T18:00:10.856833,2025-07-09T18:00:10.856835
https://www.bvmed.de/verband/mitglieder/akanni-healthcare-gmbh,bvmed.de,AKANNI Healthcare GmbH - BVMed,Germany,General Healthcare,"Cookie-Einstellungen    





                    Zur fortlaufenden Verbesserung unserer Angebote nutzen wir den Webanalysedienst matomo.

Dazu werden Cookies auf Ihrem Endgerät gespeichert, was uns e",Validated list,0,2025-07-09T18:00:10.863063,2025-07-09T18:00:10.863065
https://www.evotec.com,evotec.com,Together for Medicines That Matter - Evotec,Germany,Biotech,Evotec is a global biotechnology company committed to advancing drug discovery & development together with our partners for medicines that matter.,Validated list,0,2025-07-09T18:00:10.868463,2025-07-09T18:00:10.868465
https://www.adheretech.com,adheretech.com,AdhereTech: Medication Adherence Solutions for Better Health,International,General Healthcare,"AdhereTech provides medication adherence solutions to improve patient care, reduce missed doses, and boost health outcomes with smart, patient-friendly tools.",Validated list,0,2025-07-09T18:00:10.873884,2025-07-09T18:00:10.873886
https://www.hikma.com,hikma.com,Hikma,Sweden,Biotech,Hikma is a leading global pharmaceutical company that manufactures high-quality generic medicines and makes them accessible to people who need them.,Validated list,0,2025-07-09T18:00:10.880278,2025-07-09T18:00:10.880279
https://www.nanobiotix.com,nanobiotix.com,Building new cancer therapies atom by atom - Nanobiotix,Sweden,Biotech,"Nanobiotix is a biotechnology company pioneering the discovery, development, manufacture, and commercialization of physics-based nanomedicines",Validated list,0,2025-07-09T18:00:10.885664,2025-07-09T18:00:10.885665
https://www.veracyte.com,veracyte.com,Cancer Genomic Testing & Molecular Diagnostics - Veracyte Inc.,Germany,General Healthcare,Our genomic cancer tests provide physicians with molecular insights to help give their patients informed answers now and make personalized treatment plans for the future. Our high-performing tests sup,Validated list,0,2025-07-09T18:00:10.890784,2025-07-09T18:00:10.890786
https://www.aidence.com,aidence.com,Homepage - Aidence,Germany,Medical Imaging,"Aidence provides AI radiology solutions for the lung cancer pathway, empowering physicians to deliver better patient care. RadNet subsidiary.",Validated list,0,2025-07-09T18:00:10.896086,2025-07-09T18:00:10.896088
https://www.huma.com,huma.com,"Huma - Longer, fuller lives",Sweden,General Healthcare,A global health tech company transforming healthcare and research. Get in touch to discover our leap from reactive to proactive medicine.,Validated list,0,2025-07-09T18:00:10.901409,2025-07-09T18:00:10.901410
https://www.grifols.com,grifols.com,Biopharma & Healthcare Solutions - Grifols,International,General Healthcare,"Explore Grifols' comprehensive, innovative and patient-centric biopharma and healthcare solutions.",Validated list,0,2025-07-09T18:00:10.907651,2025-07-09T18:00:10.907652
