url,discovery_method,status,category
https://med-services.dk,Generated Domain,Discovered,Potential Health Tech
https://www.min-doktor.se,European Health Tech,Discovered,European Health Tech
https://theclinic.fr,Generated Domain,Discovered,Potential Health Tech
https://healthcare-services.uk,Generated Domain,Discovered,Potential Health Tech
https://www.1001pharmacies.com,European Health Tech,Discovered,European Health Tech
https://www.smartpatient.eu,German Health Tech,Discovered,German Health Tech
https://apphospital.uk,Generated Domain,Discovered,Potential Health Tech
https://medicinesolutions.be,Generated Domain,Discovered,Potential Health Tech
https://www.genmab.com,European Health Tech,Discovered,European Health Tech
https://medservices.it,Generated Domain,Discovered,Potential Health Tech
https://hospitalservices.fr,Generated Domain,Discovered,Potential Health Tech
https://www.myhealthchecked.com,European Health Tech,Discovered,European Health Tech
https://hospitalapp.se,Generated Domain,Discovered,Potential Health Tech
https://thehealth.at,Generated Domain,Discovered,Potential Health Tech
https://medicinesolutions.com,Generated Domain,Discovered,Potential Health Tech
https://clinic-systems.de,Generated Domain,Discovered,Potential Health Tech
https://physician-systems.it,Generated Domain,Discovered,Potential Health Tech
https://www.opensafely.org,European Health Tech,Discovered,European Health Tech
https://eclinic.be,Generated Domain,Discovered,Potential Health Tech
https://medicalsolutions.com,Generated Domain,Discovered,Potential Health Tech
https://patient-technology.fr,Generated Domain,Discovered,Potential Health Tech
https://www.samedi.de,German Health Tech,Discovered,German Health Tech
https://health-platform.ch,Generated Domain,Discovered,Potential Health Tech
https://www.netdoktor.dk,European Health Tech,Discovered,European Health Tech
https://www.echo.co.uk,European Health Tech,Discovered,European Health Tech
https://healthcaretech.at,Generated Domain,Discovered,Potential Health Tech
https://imedic.be,Generated Domain,Discovered,Potential Health Tech
https://doctor-services.be,Generated Domain,Discovered,Potential Health Tech
https://physician-tech.nl,Generated Domain,Discovered,Potential Health Tech
https://gohealthcare.nl,Generated Domain,Discovered,Potential Health Tech
https://www.medigene.com,German Health Tech,Discovered,German Health Tech
https://treatment-service.com,Generated Domain,Discovered,Potential Health Tech
https://technologycare.it,Generated Domain,Discovered,Potential Health Tech
https://care-platform.dk,Generated Domain,Discovered,Potential Health Tech
https://healthcaretech.it,Generated Domain,Discovered,Potential Health Tech
https://doctor-service.fr,Generated Domain,Discovered,Potential Health Tech
https://apphealthcare.co.uk,Generated Domain,Discovered,Potential Health Tech
https://thetherapy.se,Generated Domain,Discovered,Potential Health Tech
https://www.braun.de,German Health Tech,Discovered,German Health Tech
https://24healthcare.fr,Generated Domain,Discovered,Potential Health Tech
https://www.comuny.de/,User Hardcoded,Discovered,Verified Health Tech
https://serviceclinic.at,Generated Domain,Discovered,Potential Health Tech
https://www.livi.fr,European Health Tech,Discovered,European Health Tech
https://www.nedap-healthcare.com,European Health Tech,Discovered,European Health Tech
https://www.livi.co.uk,European Health Tech,Discovered,European Health Tech
https://www.dsm.com,European Health Tech,Discovered,European Health Tech
https://www.hartmann.info,German Health Tech,Discovered,German Health Tech
https://medicine-systems.com,Generated Domain,Discovered,Potential Health Tech
