url,status,category
https://www.acalta.de,Working,Health Adjacent
https://www.actimi.com,Working,Health Adjacent
https://www.emmora.de,Working,Health Adjacent
https://www.alfa-ai.com,Working,Health Tech
https://www.apheris.com,Working,Health Adjacent
https://www.aporize.com/,Working,Health Adjacent
https://shop.getnutrio.com/,Working,Health Adjacent
https://www.auta.health/,Working,Direct Health
https://visioncheckout.com/,Working,Health Adjacent
https://www.avayl.tech/,Working,Health Tech
https://www.avimedical.com/avi-impact,Working,Direct Health
https://de.becureglobal.com/,Working,Health Adjacent
https://bellehealth.co/de/,Working,Direct Health
https://www.biotx.ai/,Working,Health Tech
https://www.brainjo.de/,Working,Health Tech
https://brea.app/,Working,Health Tech
https://breathment.com/,Working,Health Adjacent
https://www.careanimations.de/,Working,Direct Health
https://sfs-healthcare.com,Working,Direct Health
https://www.climedo.de/,Working,Direct Health
https://www.cliniserve.de/,Working,Health Adjacent
https://cogthera.de/#erfahren,Working,Health Adjacent
https://www.comuny.de/,Working,Health Adjacent
https://curecurve.de/elina-app/,Working,Health Tech
https://www.healthmeapp.de/de/,Working,Direct Health
https://deepeye.ai/,Working,Health Tech
https://www.deepmentation.ai/,Working,Health Tech
https://www.derma2go.com/,Working,Health Adjacent
https://www.dianovi.com/,Working,Health Adjacent
http://dopavision.com/,Working,Health Adjacent
https://www.dpv-analytics.com/,Working,Health Adjacent
http://www.ecovery.de/,Working,Health Adjacent
https://elixionmedical.com/,Working,Direct Health
https://www.empident.de/,Working,Health Adjacent
https://eye2you.ai/,Working,Health Tech
https://www.fitwhit.de,Working,Health Adjacent
https://www.floy.com/,Working,Health Adjacent
https://fyzo.de/assistant/,Working,Health Adjacent
https://www.gesund.de/app,Working,Health Tech
https://www.glaice.de/,Working,Health Tech
https://gleea.de/,Working,Health Adjacent
https://www.guidecare.de/,Working,Direct Health
https://www.apodienste.com/,Working,Health Adjacent
https://www.help-app.de/,Working,Health Tech
https://www.heynanny.com/,Working,Health Adjacent
https://incontalert.de/,Working,Health Adjacent
https://home.informme.info/,Working,Health Adjacent
https://www.kranushealth.com/de/therapien/haeufiger-harndrang,Working,Direct Health
https://www.kranushealth.com/de/therapien/inkontinenz,Working,Direct Health
