url,source,category,country,wikipedia_page
https://www.knollpharmaceuticals.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Knoll_Pharmaceuticals
https://knollpharmaceuticals.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Knoll_Pharmaceuticals
https://www.knollpharmaceuticals.eu,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Knoll_Pharmaceuticals
https://www.knollpharmaceuticals.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Knoll_Pharmaceuticals
https://knollpharmaceuticals.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Knoll_Pharmaceuticals
https://www.medicinechestidiom.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Medicine_chest_(idiom)
https://medicinechestidiom.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Medicine_chest_(idiom)
https://www.medicinechestidiom.eu,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Medicine_chest_(idiom)
https://www.medicinechestidiom.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Medicine_chest_(idiom)
https://medicinechestidiom.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Medicine_chest_(idiom)
https://www.pharmaceuticalcompaniesbycountry.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Pharmaceutical_companies_by_country
https://pharmaceuticalcompaniesbycountry.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Pharmaceutical_companies_by_country
https://www.pharmaceuticalcompaniesbycountry.eu,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Pharmaceutical_companies_by_country
https://www.pharmaceuticalcompaniesbycountry.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Pharmaceutical_companies_by_country
https://pharmaceuticalcompaniesbycountry.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Pharmaceutical_companies_by_country
https://www.drugsingermany.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Drugs_in_Germany
https://drugsingermany.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Drugs_in_Germany
https://www.drugsingermany.eu,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Drugs_in_Germany
https://www.drugsingermany.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Drugs_in_Germany
https://drugsingermany.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Drugs_in_Germany
https://www.healthcarecompaniesofgermany.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Health_care_companies_of_Germany
https://healthcarecompaniesofgermany.com,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Health_care_companies_of_Germany
https://www.healthcarecompaniesofgermany.eu,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Health_care_companies_of_Germany
https://www.healthcarecompaniesofgermany.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Health_care_companies_of_Germany
https://healthcarecompaniesofgermany.de,Wikipedia,Category:Pharmaceutical_companies_of_Germany,Germany,https://en.wikipedia.org/wiki/Category:Health_care_companies_of_Germany
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.com,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
https://listofpharmaceuticalmanufacturersintheunitedkingdom.com,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.eu,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.co.uk,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
https://listofpharmaceuticalmanufacturersintheunitedkingdom.co.uk,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
https://www.listofpharmaceuticalmanufacturersintheunitedkingdom.uk,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
https://listofpharmaceuticalmanufacturersintheunitedkingdom.uk,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
https://www.crookeshealthcare.com,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/Crookes_Healthcare
https://crookeshealthcare.com,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/Crookes_Healthcare
https://www.crookeshealthcare.eu,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/Crookes_Healthcare
https://www.crookeshealthcare.co.uk,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/Crookes_Healthcare
https://crookeshealthcare.co.uk,Wikipedia,Category:Pharmaceutical_companies_of_the_United_Kingdom,United Kingdom,https://en.wikipedia.org/wiki/Crookes_Healthcare
