url,source,confidence,category,country,health_score
https://www.acalta.de,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.actimi.com,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.emmora.de,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.alfa-ai.com,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.apheris.com,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.aporize.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.arztlena.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://shop.getnutrio.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.auta.health/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://visioncheckout.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.avayl.tech/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.avimedical.com/avi-impact,User Verified,10,Verified Health Tech,Germany/Europe,1
https://de.becureglobal.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://bellehealth.co/de/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.biotx.ai/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.brainjo.de/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://brea.app/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://breathment.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://de.caona.eu/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.careanimations.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://sfs-healthcare.com,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.climedo.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.cliniserve.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://cogthera.de/#erfahren,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.comuny.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://curecurve.de/elina-app/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.cynteract.com/de/rehabilitation,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.healthmeapp.de/de/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://deepeye.ai/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.deepmentation.ai/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://denton-systems.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.derma2go.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.dianovi.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
http://dopavision.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.dpv-analytics.com/,User Verified,10,Verified Health Tech,Germany/Europe,1
http://www.ecovery.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://elixionmedical.com/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.empident.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://eye2you.ai/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.fitwhit.de,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.floy.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://fyzo.de/assistant/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.gesund.de/app,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.glaice.de/,User Verified,10,Verified Health Tech,Germany/Europe,1
https://gleea.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.guidecare.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.apodienste.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.help-app.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.heynanny.com/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://incontalert.de/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://home.informme.info/,User Verified,10,Verified Health Tech,Germany/Europe,0
https://www.kranushealth.com/de/therapien/haeufiger-harndrang,User Verified,10,Verified Health Tech,Germany/Europe,1
https://www.kranushealth.com/de/therapien/inkontinenz,User Verified,10,Verified Health Tech,Germany/Europe,1
